UF,SITUACAO,AGUA,n,p
12,Rural,2,14091.062368480458,6.072633996325274
13,Rural,2,53982.54858488369,7.777999004302377
14,Rural,2,13396.270734807737,15.348940144121642
15,Rural,2,209714.79983084436,8.817396653963964
16,Rural,2,18596.63608403179,19.27548987769978
17,Rural,2,13732.722978608512,4.95028162124053
21,Rural,2,333753.1259475561,15.050583595453
22,Rural,2,116744.9637208901,10.36697517217664
23,Rural,2,192683.2778183799,8.727522211604155
24,Rural,2,46063.324310446245,6.490448471254294
25,Rural,2,45301.81775290066,5.236647369911675
26,Rural,2,75448.44937355674,4.7355877992789495
27,Rural,2,49579.38784948321,6.181699715260745
28,Rural,2,34431.30477554257,6.8954862975551094
29,Rural,2,301607.9282211099,7.28363180057029
31,Rural,2,67334.44439346866,2.466381019331431
32,Rural,2,4977.971330678473,0.8924258079976535
33,Rural,2,26735.545497784355,5.943144012192241
35,Rural,2,88733.2659438498,4.950926060917526
41,Rural,2,31007.321549785065,2.264809027322531
42,Rural,2,36227.5686252186,3.6074631497251355
43,Rural,2,8006.796600025858,0.5338145285902212
50,Rural,2,7449.6255811412975,2.9620837178872126
51,Rural,2,8537.658913790454,1.7181767971330775
52,Rural,2,32352.947978634937,5.861497733793447
53,Rural,2,1805.3593320723,1.1077608276588558
11,Urbano,3,7129.02342582781,0.5265278058546964
12,Urbano,3,5161.952272300156,0.8149850650891883
13,Urbano,3,42457.91562022108,1.2909208899953242
14,Urbano,3,1426.1404126364225,0.31519502808714656
15,Urbano,3,201485.41716937424,3.258870098729884
16,Urbano,3,3065.887002602859,0.4136958622348457
17,Urbano,3,5522.309045142651,0.43067535435449117
21,Urbano,3,152051.58686623586,3.1525910610232044
22,Urbano,3,9365.638243244703,0.43635729133665646
23,Urbano,3,89612.30021373824,1.2946738659397188
24,Urbano,3,36264.81171250166,1.296494466487716
25,Urbano,3,51556.98176928796,1.6462979711829504
26,Urbano,3,174177.62563989806,2.2030548507438317
27,Urbano,3,31640.31518708168,1.2515729028582023
28,Urbano,3,31608.032091621844,1.7567650575923535
29,Urbano,3,69124.73312828105,0.6452649905619736
31,Urbano,3,12113.450747212644,0.06573372368447404
32,Urbano,3,1971.8147790053456,0.05703628008741602
33,Urbano,3,63915.772218961945,0.380121705144552
35,Urbano,3,59334.56200189561,0.13448323008482568
41,Urbano,3,12802.92741480663,0.12737364510146637
42,Urbano,3,2836.901218657604,0.0461375560569442
43,Urbano,3,10301.426578916682,0.10449045545148333
50,Urbano,3,1390.5549989478109,0.056576429206778654
51,Urbano,3,8010.9006863466475,0.273055840598094
52,Urbano,3,6971.152876279793,0.10776999677698627
53,Urbano,3,1021.8959955178047,0.03585921770184583
11,Rural,3,19066.601139536077,4.619742810467191
12,Rural,3,79980.29243667047,34.46802165700284
13,Rural,3,371282.39190413535,53.49569722527008
14,Rural,3,15123.861958143814,17.328348802353414
15,Rural,3,678346.0635955837,28.520859358527822
16,Rural,3,13803.610286050265,14.30749890153196
17,Rural,3,25215.872706522598,9.089651878733786
21,Rural,3,477564.1980234225,21.535738022350113
22,Rural,3,162123.67177528102,14.396613151850303
23,Rural,3,483543.9030000228,21.901953306484124
24,Rural,3,148884.73296707874,20.97826637449473
25,Rural,3,307623.8520636317,35.559668811037255
26,Rural,3,601085.6349270738,37.72766468650759
27,Rural,3,237672.2449881604,29.633654486196072
28,Rural,3,109427.8920108467,21.914897935181234
29,Rural,3,594194.0535743786,14.34939303436121
31,Rural,3,48943.6713391621,1.7927487646874267
32,Rural,3,906.8919101544477,0.16258304677214966
33,Rural,3,4634.138626062572,1.030139939708168
35,Rural,3,38972.63806382671,2.1745018331118873
41,Rural,3,6800.6548330924015,0.4967273433457536
42,Rural,3,2564.965620708989,0.255413744508881
43,Rural,3,9325.638624373161,0.6217419568340777
50,Rural,3,1223.8132903540238,0.48660665983917367
51,Rural,3,4385.331947334844,0.8825341555243671
52,Rural,3,12913.308641512953,2.339549687650972
53,Rural,3,1603.3597298572745,0.9838147286406493
