UF,SITUACAO,ESGOTO,n,p
12,Urbano,2,22799.81038855606,3.599704912664492
13,Urbano,2,354632.2416046653,10.782492787641646
14,Urbano,2,49733.64329816392,10.991762772686581
15,Urbano,2,507457.9320937974,8.207737832825872
16,Urbano,2,44076.676053295996,5.947492027212282
17,Urbano,2,141773.21780821265,11.056648644326499
21,Urbano,2,282247.48200117936,5.852032899439702
22,Urbano,2,81137.8531797954,3.780318320958427
23,Urbano,2,487563.51035501505,7.044074678776007
24,Urbano,2,172357.82830225202,6.161922814359336
25,Urbano,2,182981.07099524344,5.842882100670205
26,Urbano,2,835397.6697270208,10.566379475152452
27,Urbano,2,183775.0290429276,7.26945497262355
28,Urbano,2,127768.85422932042,7.101355057728425
29,Urbano,2,494439.45931610785,4.615489400255562
31,Urbano,2,146665.611648075,0.7958819490232661
32,Urbano,2,51124.2826939323,1.478809743210396
33,Urbano,2,977796.8407542711,5.815181284506211
35,Urbano,2,752224.6846194948,1.7049355708387481
41,Urbano,2,326701.56902564364,3.2502855291547452
42,Urbano,2,1241975.3016479698,20.198695930709224
43,Urbano,2,1944211.971008622,19.72072438595013
50,Urbano,2,235089.08599051295,9.564886711343759
51,Urbano,2,218380.4713925218,7.4436153337818025
52,Urbano,2,339331.19915575034,5.24586433382907
53,Urbano,2,31667.63390674134,1.1112447679069184
11,Rural,2,18072.407472214774,4.378854620002252
12,Rural,2,0,0
13,Rural,2,1164.507961355608,0.16778647917453865
14,Rural,2,776.6639361597131,0.8898721520489214
15,Rural,2,39088.56425732708,1.6434671085150545
16,Rural,2,157.1968413004473,0.1629351733077647
17,Rural,2,12994.411859036245,4.684140086770689
21,Rural,2,78618.70497533452,3.5453072927426557
22,Rural,2,16842.587024667602,1.4956249584983998
23,Rural,2,86320.73507427484,3.9098677436494635
24,Rural,2,12657.702708004954,1.783504955853374
25,Rural,2,25985.666641351876,3.0038038123563786
26,Rural,2,130037.18433682143,8.161897410894525
27,Rural,2,29406.747891070183,3.6665173361326175
28,Rural,2,11360.162513827509,2.2750762848737383
29,Rural,2,220818.46402154717,5.332619723183576
31,Rural,2,117134.59003554884,4.2905014242438595
32,Rural,2,18110.010535912774,3.2466721304228954
33,Rural,2,36192.16663866208,8.04529155631606
35,Rural,2,132215.4527685219,7.377040885454478
41,Rural,2,80143.00421204914,5.853733581108191
42,Rural,2,61603.11804132147,6.134305631748531
43,Rural,2,99715.9689647311,6.64808107722546
50,Rural,2,19178.038168885367,7.6254778152718785
51,Rural,2,49379.108528090714,9.937389089067548
52,Rural,2,25193.329965073863,4.56436447752795
53,Rural,2,21620.533470804792,13.266267621389824
11,Urbano,3,796555.5238914369,58.831147996584875
12,Urbano,3,139183.48227895747,21.974720683326026
13,Urbano,3,913217.8373573812,27.766129498819172
14,Urbano,3,161757.57541197288,35.75046543350678
15,Urbano,3,3394309.65389376,54.90032178162977
16,Urbano,3,374006.6035251918,50.46662978626505
17,Urbano,3,411151.80082299985,32.06501955349342
21,Urbano,3,2665527.733428195,55.266236140684356
22,Urbano,3,1693926.3363399582,78.92223558626915
23,Urbano,3,2080133.474590789,30.052732055707285
24,Urbano,3,555679.8182155278,19.865974078860976
25,Urbano,3,948664.1433959678,30.292383320567733
26,Urbano,3,1435654.0608055482,18.158616131251527
27,Urbano,3,592897.2452561503,23.45280449813099
28,Urbano,3,381026.6116262557,21.17734616876846
29,Urbano,3,1630583.7304771694,15.221159602949529
31,Urbano,3,575839.9631208363,3.1247995151978234
32,Urbano,3,216360.52169317898,6.258396806101915
33,Urbano,3,885461.2310967061,5.266040310845525
35,Urbano,3,1039608.5462325859,2.3562980934565827
41,Urbano,3,1372473.438470064,13.65445097038501
42,Urbano,3,1767613.5619291754,28.74734208726254
43,Urbano,3,1523671.0796438185,15.455052157152652
50,Urbano,3,914325.237177181,37.200439459257474
51,Urbano,3,1413902.9853020525,48.19364055203072
52,Urbano,3,1184158.8633886946,18.306412031942553
53,Urbano,3,227834.15049228998,7.994898148395556
11,Rural,3,217263.44767527154,52.64185488696767
12,Rural,3,44966.987769336316,19.378812718282035
13,Rural,3,149804.72663324402,21.58440172125253
14,Rural,3,22903.001325485515,26.241392356472186
15,Rural,3,858782.0783558264,36.107238164815385
16,Rural,3,53992.36587946079,55.96330956200424
17,Rural,3,104756.53963103518,37.761948132795865
21,Rural,3,879010.2791854796,39.638932670917846
22,Rural,3,638264.3774024432,56.67799914380289
23,Rural,3,989886.6085093532,44.83657046190647
24,Rural,3,131216.70140173886,18.488792369308193
25,Rural,3,357989.57162062934,41.38167609318375
26,Rural,3,733274.5526158579,46.02461751992517
27,Rural,3,273335.5666944882,34.080259319368835
28,Rural,3,176076.77958374302,35.262533001646865
29,Rural,3,1595519.3106930177,38.53073511140636
31,Rural,3,836088.7563505985,30.6249417770433
32,Rural,3,301099.73760508525,53.97965531944433
33,Rural,3,244394.23647314977,54.32730531830985
35,Rural,3,997102.6913600499,55.63394570858389
41,Rural,3,773130.6238250942,56.4703150295389
42,Rural,3,616250.9601336032,61.36494150803068
43,Rural,3,937619.7546307149,62.51127289950859
50,Rural,3,163179.7402865884,64.88273088725045
51,Rural,3,292859.30371405534,58.93700668379604
52,Rural,3,194036.08365389152,35.154201878682365
53,Rural,3,101950.97857879968,62.55668797050235
11,Urbano,4,274253.11550723395,20.255493990058085
12,Urbano,4,74383.62437330425,11.74391775699899
13,Urbano,4,364457.34455749206,11.081222258056773
14,Urbano,4,87592.30372888163,19.359004477689684
15,Urbano,4,982877.9551570121,15.897287375737807
16,Urbano,4,111034.58042366122,14.982465579212022
17,Urbano,4,323467.24864938064,25.226652618559804
21,Urbano,4,557663.8066220337,11.562430672686336
22,Urbano,4,185317.82201575083,8.634198839521504
23,Urbano,4,580512.1553900815,8.386950392426748
24,Urbano,4,1292671.8599409473,46.21399737807188
25,Urbano,4,234333.24315268654,7.482640169072038
26,Urbano,4,392300.2124349798,4.961939759929453
27,Urbano,4,462720.70692231983,18.303505984409973
28,Urbano,4,302071.7086039631,16.789056054626165
29,Urbano,4,1127990.2376119872,10.529553997350776
31,Urbano,4,595865.3030535922,3.233467159892737
32,Urbano,4,47994.54777312397,1.3882797200848787
33,Urbano,4,80376.3186411788,0.4780163367260798
35,Urbano,4,43545.20131229584,0.09869625947494896
41,Urbano,4,662647.4066393608,6.592540351597692
42,Urbano,4,164981.39883371588,2.6831524788323393
43,Urbano,4,401688.25480898994,4.074444289143957
50,Urbano,4,168172.3318964341,6.8422968075889665
51,Urbano,4,223100.04263200684,7.604484447320631
52,Urbano,4,1026626.8529383721,15.871058144313647
53,Urbano,4,24021.68044232257,0.8429416225561566
11,Rural,4,171766.15409470536,41.61808649865753
12,Rural,4,100040.36021243103,43.113036941028525
13,Rural,4,263980.229444738,38.035217224842874
14,Rural,4,55801.42961718833,63.935166741980055
15,Rural,4,788347.028445611,33.14581734997037
16,Rural,4,26612.2454604067,27.58370200271831
17,Rural,4,113640.62911849418,40.96442625601515
21,Rural,4,550773.1527729174,24.837092849409157
22,Rural,4,162037.05465735582,14.38892153516384
23,Rural,4,800349.4093444479,36.25154879128612
24,Rural,4,524872.6349743993,73.95599085106068
25,Rural,4,311624.388551403,36.022109391042065
26,Rural,4,302722.4598241659,19.000639499073273
27,Rural,4,334630.04241349123,41.722629657815176
28,Rural,4,238618.27900428066,47.78758992569345
29,Rural,4,1658130.145579444,40.042745325225106
31,Rural,4,1022732.4521926296,37.46147949483734
32,Rural,4,143522.34864102554,25.72996898602689
33,Rural,4,28832.096714085503,6.409194192782241
35,Rural,4,390329.36946653906,21.77866245626832
41,Rural,4,427210.109847707,31.203898466142864
42,Rural,4,207511.80375202736,20.663577865596157
43,Rural,4,381160.8577334277,25.412060996698354
50,Rural,4,66587.09111793032,26.476033764864273
51,Rural,4,143476.19147895157,28.874128801511365
52,Rural,4,312546.5711437392,56.62516502897171
53,Rural,4,38600.555395863346,23.6851370437875
11,Urbano,5,16486.758392948246,1.2176614107966053
12,Urbano,5,75986.99772625946,11.997063324313235
13,Urbano,5,63672.95232476943,1.9359580677242205
14,Urbano,5,1000.2669097969889,0.22107160973390205
15,Urbano,5,259130.43820210017,4.1912335323886465
16,Urbano,5,9480.43326398725,1.279243497942171
17,Urbano,5,1388.5250307681251,0.10828867141764531
21,Urbano,5,151420.83779688377,3.1395133028835445
22,Urbano,5,1718.5185758983878,0.08006802007664902
23,Urbano,5,79329.51307277444,1.1461132805214918
24,Urbano,5,33287.87630887536,1.1900667726535208
25,Urbano,5,35473.99365081555,1.1327420995750246
26,Urbano,5,358456.8025753174,4.5338773840466455
27,Urbano,5,85172.44152560063,3.3691042346897873
28,Urbano,5,41968.85425963652,2.3326164835823007
29,Urbano,5,105255.05124590655,0.9825339871149948
31,Urbano,5,13310.464259361408,0.07222932573018132
32,Urbano,5,68284.20996389024,1.9751740206618107
33,Urbano,5,267211.12522185204,1.5891656319970289
35,Urbano,5,175704.35719984016,0.3982382055075692
41,Urbano,5,14672.994449049516,0.14597855060613477
42,Urbano,5,17230.81244897263,0.28023096822784244
43,Urbano,5,55187.18104848172,0.559780107994105
