ANO,UF,SITUACAO,ADEQUACAO,AGUA,ESGOTO,LIXO,DOMICILIOS
2010,17,Urbano,Semi-adequado,Adequado,Adequado,Adequado,0
2010,17,Urbano,Semi-adequado,Adequado,Adequado,Inadequado,7927
2010,17,Urbano,Semi-adequado,Adequado,Inadequado,Adequado,173618
2010,17,Urbano,Semi-adequado,Adequado,Inadequado,Inadequado,20176
2010,17,Urbano,Semi-adequado,Inadequado,Adequado,Adequado,3279
2010,17,Urbano,Semi-adequado,Inadequado,Adequado,Inadequado,881
2010,17,Urbano,Semi-adequado,Inadequado,Inadequado,Adequado,10038
2010,17,Urbano,Semi-adequado,Inadequado,Inadequado,Inadequado,0
2010,21,Rural,Adequado,Adequado,Adequado,Adequado,14427
2010,21,Rural,Adequado,Adequado,Adequado,Inadequado,0
2010,21,Rural,Adequado,Adequado,Inadequado,Adequado,0
2010,21,Rural,Adequado,Adequado,Inadequado,Inadequado,0
2010,21,Rural,Adequado,Inadequado,Adequado,Adequado,0
2010,21,Rural,Adequado,Inadequado,Adequado,Inadequado,0
2010,21,Rural,Adequado,Inadequado,Inadequado,Adequado,0
2010,21,Rural,Adequado,Inadequado,Inadequado,Inadequado,0
2010,21,Rural,Inadequado,Adequado,Adequado,Adequado,0
2010,21,Rural,Inadequado,Adequado,Adequado,Inadequado,0
2010,21,Rural,Inadequado,Adequado,Inadequado,Adequado,0
2010,21,Rural,Inadequado,Adequado,Inadequado,Inadequado,0
2010,21,Rural,Inadequado,Inadequado,Adequado,Adequado,0
2010,21,Rural,Inadequado,Inadequado,Adequado,Inadequado,0
2010,21,Rural,Inadequado,Inadequado,Inadequado,Adequado,0
2010,21,Rural,Inadequado,Inadequado,Inadequado,Inadequado,186439
2010,21,Rural,Semi-adequado,Adequado,Adequado,Adequado,0
2010,21,Rural,Semi-adequado,Adequado,Adequado,Inadequado,16505
2010,21,Rural,Semi-adequado,Adequado,Inadequado,Adequado,20424
2010,21,Rural,Semi-adequado,Adequado,Inadequado,Inadequado,129410
2010,21,Rural,Semi-adequado,Inadequado,Adequado,Adequado,7412
2010,21,Rural,Semi-adequado,Inadequado,Adequado,Inadequado,23124
2010,21,Rural,Semi-adequado,Inadequado,Inadequado,Adequado,10821
2010,21,Rural,Semi-adequado,Inadequado,Inadequado,Inadequado,0
2010,21,Urbano,Adequado,Adequado,Adequado,Adequado,274602
2010,21,Urbano,Adequado,Adequado,Adequado,Inadequado,0
2010,21,Urbano,Adequado,Adequado,Inadequado,Adequado,0
2010,21,Urbano,Adequado,Adequado,Inadequado,Inadequado,0
2010,21,Urbano,Adequado,Inadequado,Adequado,Adequado,0
2010,21,Urbano,Adequado,Inadequado,Adequado,Inadequado,0
2010,21,Urbano,Adequado,Inadequado,Inadequado,Adequado,0
2010,21,Urbano,Adequado,Inadequado,Inadequado,Inadequado,0
2010,21,Urbano,Inadequado,Adequado,Adequado,Adequado,0
2010,21,Urbano,Inadequado,Adequado,Adequado,Inadequado,0
2010,21,Urbano,Inadequado,Adequado,Inadequado,Adequado,0
2010,21,Urbano,Inadequado,Adequado,Inadequado,Inadequado,0
2010,21,Urbano,Inadequado,Inadequado,Adequado,Adequado,0
2010,21,Urbano,Inadequado,Inadequado,Adequado,Inadequado,0
2010,21,Urbano,Inadequado,Inadequado,Inadequado,Adequado,0
2010,21,Urbano,Inadequado,Inadequado,Inadequado,Inadequado,73094
2010,21,Urbano,Semi-adequado,Adequado,Adequado,Adequado,0
2010,21,Urbano,Semi-adequado,Adequado,Adequado,Inadequado,57023
2010,21,Urbano,Semi-adequado,Adequado,Inadequado,Adequado,339321
2010,21,Urbano,Semi-adequado,Adequado,Inadequado,Inadequado,185847
2010,21,Urbano,Semi-adequado,Inadequado,Adequado,Adequado,45987
2010,21,Urbano,Semi-adequado,Inadequado,Adequado,Inadequado,16295
2010,21,Urbano,Semi-adequado,Inadequado,Inadequado,Adequado,67681
2010,21,Urbano,Semi-adequado,Inadequado,Inadequado,Inadequado,0
2010,22,Rural,Adequado,Adequado,Adequado,Adequado,3058
2010,22,Rural,Adequado,Adequado,Adequado,Inadequado,0
2010,22,Rural,Adequado,Adequado,Inadequado,Adequado,0
2010,22,Rural,Adequado,Adequado,Inadequado,Inadequado,0
2010,22,Rural,Adequado,Inadequado,Adequado,Adequado,0
2010,22,Rural,Adequado,Inadequado,Adequado,Inadequado,0
2010,22,Rural,Adequado,Inadequado,Inadequado,Adequado,0
2010,22,Rural,Adequado,Inadequado,Inadequado,Inadequado,0
2010,22,Rural,Inadequado,Adequado,Adequado,Adequado,0
2010,22,Rural,Inadequado,Adequado,Adequado,Inadequado,0
2010,22,Rural,Inadequado,Adequado,Inadequado,Adequado,0
2010,22,Rural,Inadequado,Adequado,Inadequado,Inadequado,0
2010,22,Rural,Inadequado,Inadequado,Adequado,Adequado,0
2010,22,Rural,Inadequado,Inadequado,Adequado,Inadequado,0
2010,22,Rural,Inadequado,Inadequado,Inadequado,Adequado,0
2010,22,Rural,Inadequado,Inadequado,Inadequado,Inadequado,62741
2010,22,Rural,Semi-adequado,Adequado,Adequado,Adequado,0
